id,text,label,origin,type,language,split,text_original
en_887,"@USER_____ Ich habe jetzt Betablocker, anscheinend kann das Fluoxetin Panikattacken verursachen ^_^",1,translated_en,tweet,de,SMM4H_26_train,"@USER_____ i has beta blockers now, apparently the fluoxetine can cause panic attacks ^_^"
en_222,"@USER_____ warum ich davon abgekommen bin. GP sagte mir, es sei nicht gefährlich, aber verdammt unangenehm. Zumindest weiß ich, dass es das Quetiapin ist, das es verursacht",1,translated_en,tweet,de,SMM4H_26_train,@USER_____ why i came off it. gp told me its not dangerous but it is damn unpleasant. at least i know it's the quetiapine that's causing it
en_11821,"Nennen Sie mir einen Grund, warum ich keinen Sexualtrieb bzw. keine Libido haben sollte. Ich akzeptiere dies als Teil der Entzugserscheinungen von Venlafaxin. :O",1,translated_en,tweet,de,SMM4H_26_train,gimme one reason why i shouldn't have sex drive / libido. i accept this as a part of withdrawal symptoms from venlafaxine. :o
en_15846,"@USER_____ Ich habe mit Lyrica angefangen, konnte es mir aber nicht mehr leisten. es hat mich aufgebläht gemacht. probierte Cymbalta &amp; mein Herz schlug furchtbar schnell",1,translated_en,tweet,de,SMM4H_26_train,@USER_____ i started out with lyrica but i could no longer afford it &amp; it made me bloated. tried cymbalta &amp; my heart was beating wicked fast
en_4208,"@USER_________ Depakote hat mich platt gemacht, hilft aber vielen. Zyprexa kann zu einer Gewichtszunahme führen. Seien Sie daher sehr vorsichtig. Ich kann es nicht ertragen.",1,translated_en,tweet,de,SMM4H_26_train,"@USER_________ Depakote made me feel flat, but helps many. Zyprexa can cause weight gain, so be very careful. I can't tolerate it."
en_10016,"@USER_______ reppin zoloft&amp;seroquel seit letztem November. Ich nehme verdammt viel zu, ich bin fett und kann nicht abspritzen",1,translated_en,tweet,de,SMM4H_26_train,@USER_______ reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own
en_9318,"@USER_________ Ich werde vielleicht wieder Venlafaxin &amp; Gib es noch einmal, aber es hat mir den Schlaf geraubt :( x",1,translated_en,tweet,de,SMM4H_26_train,@USER_________ i might go back on the venlafaxine &amp; give it another chance but it was wrecking my sleep :( x
en_16676,"@USER_________ Bitte sagen Sie mir, dass das nicht Quetiapin war! Das Zeug ist sooo sedierend...",1,translated_en,tweet,de,SMM4H_26_train,@USER_________ please tell me that wasn't quetiapine! that stuff is sooo sedating...
en_8021,"von jessica, ich habe vor Kurzem das Antidepressivum von Cymbalta auf Zoloft umgestellt... Bekommt sonst noch jemand täglich Migräne durch die Einnahme von Zoloft?",1,translated_en,tweet,de,SMM4H_26_train,from jessica i have recently changed anti-depressants from cymbalta to zoloft...does anyone else get daily migraines from taking zoloft?
en_16158,"Ich bin gerade so müde. Ich fühle mich wie früher, als ich Seroquel und Lithium einnahm. Ich war von Natur aus noch nie so müde",1,translated_en,tweet,de,SMM4H_26_train,i am so tired right now. like i feel like i used to when i used to take seroquel and lithium. i haven't been this tired naturally ever
