id,text,label,origin,type,language,split,text_original
en_887,"@USER_____ J'ai des bêta-bloquants maintenant, apparemment la fluoxétine peut provoquer des crises de panique ^_^",1,translated_en,tweet,fr,SMM4H_26_train,"@USER_____ i has beta blockers now, apparently the fluoxetine can cause panic attacks ^_^"
en_222,@USER_____ pourquoi je m'en suis sorti. Le généraliste m'a dit que ce n'était pas dangereux mais que c'était sacrément désagréable. au moins je sais que c'est la quétiapine qui en est la cause,1,translated_en,tweet,fr,SMM4H_26_train,@USER_____ why i came off it. gp told me its not dangerous but it is damn unpleasant. at least i know it's the quetiapine that's causing it
en_11821,donne-moi une raison pour laquelle je ne devrais pas avoir de libido/libido. j'accepte cela comme faisant partie des symptômes de sevrage de la venlafaxine. :o,1,translated_en,tweet,fr,SMM4H_26_train,gimme one reason why i shouldn't have sex drive / libido. i accept this as a part of withdrawal symptoms from venlafaxine. :o
en_15846,@USER_____ J'ai commencé avec Lyrica mais je ne pouvais plus me le permettre &amp; ça m'a fait gonfler. essayé cymbalta &amp; mon cœur battait très vite,1,translated_en,tweet,fr,SMM4H_26_train,@USER_____ i started out with lyrica but i could no longer afford it &amp; it made me bloated. tried cymbalta &amp; my heart was beating wicked fast
en_4208,"@USER_________ Depakote m'a fait me sentir à plat, mais en aide beaucoup. Le Zyprexa peut entraîner une prise de poids, alors soyez très prudent. Je ne peux pas le tolérer.",1,translated_en,tweet,fr,SMM4H_26_train,"@USER_________ Depakote made me feel flat, but helps many. Zyprexa can cause weight gain, so be very careful. I can't tolerate it."
en_10016,"@USER_______ représente zoloft&amp;seroquel depuis novembre dernier. je suis vraiment en train de prendre du poids, c'est trop génial, je suis gros et je ne peux pas jouir, je le possède",1,translated_en,tweet,fr,SMM4H_26_train,@USER_______ reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own
en_9318,@USER_________ je pourrais revenir à la venlafaxine &amp; donne-lui une autre chance mais ça détruisait mon sommeil :( x,1,translated_en,tweet,fr,SMM4H_26_train,@USER_________ i might go back on the venlafaxine &amp; give it another chance but it was wrecking my sleep :( x
en_16676,"@USER_________ s'il vous plaît, dites-moi que ce n'était pas de la quétiapine ! ce truc est tellement sédatif...",1,translated_en,tweet,fr,SMM4H_26_train,@USER_________ please tell me that wasn't quetiapine! that stuff is sooo sedating...
en_8021,"de Jessica, j'ai récemment changé d'antidépresseurs du cymbalta au zoloft... est-ce que quelqu'un d'autre souffre de migraines quotidiennes en prenant du zoloft ?",1,translated_en,tweet,fr,SMM4H_26_train,from jessica i have recently changed anti-depressants from cymbalta to zoloft...does anyone else get daily migraines from taking zoloft?
en_16158,je suis tellement fatigué en ce moment. comme je me sens comme avant quand je prenais du séroquel et du lithium. je n'ai jamais été aussi fatigué naturellement,1,translated_en,tweet,fr,SMM4H_26_train,i am so tired right now. like i feel like i used to when i used to take seroquel and lithium. i haven't been this tired naturally ever
