id,text,label,origin,type,language,split,text_original
en_887,"@USER_____ у меня сейчас есть бета-блокаторы, видимо флуоксетин может вызывать приступы паники ^_^",1,translated_en,tweet,ru,SMM4H_26_train,"@USER_____ i has beta blockers now, apparently the fluoxetine can cause panic attacks ^_^"
en_222,"@USER_____, почему я отказался от этого. GP сказал мне, что это не опасно, но чертовски неприятно. по крайней мере, я знаю, что это из-за кветиапина",1,translated_en,tweet,ru,SMM4H_26_train,@USER_____ why i came off it. gp told me its not dangerous but it is damn unpleasant. at least i know it's the quetiapine that's causing it
en_11821,"назовите мне одну причину, почему у меня не должно быть полового влечения/либидо. Я принимаю это как часть синдрома отмены венлафаксина. :о",1,translated_en,tweet,ru,SMM4H_26_train,gimme one reason why i shouldn't have sex drive / libido. i accept this as a part of withdrawal symptoms from venlafaxine. :o
en_15846,"@USER_____ Я начал с лирики, но больше не мог себе этого позволить. это заставило меня раздуться. попробовал тарелку &amp; мое сердце сильно билось",1,translated_en,tweet,ru,SMM4H_26_train,@USER_____ i started out with lyrica but i could no longer afford it &amp; it made me bloated. tried cymbalta &amp; my heart was beating wicked fast
en_4208,"@USER_________ Депакот заставил меня чувствовать себя подавленным, но многим помогает. Зипрекса может вызвать увеличение веса, поэтому будьте очень осторожны. Я не могу этого терпеть.",1,translated_en,tweet,ru,SMM4H_26_train,"@USER_________ Depakote made me feel flat, but helps many. Zyprexa can cause weight gain, so be very careful. I can't tolerate it."
en_10016,"@USER_______ принимает золофт и сероквель с ноября прошлого года. я чертовски набираю вес, я слишком крутой, я толстый и не могу кончить, у меня есть",1,translated_en,tweet,ru,SMM4H_26_train,@USER_______ reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own
en_9318,"@USER_________ я мог бы снова начать принимать венлафаксин и ампер; дайте ему еще один шанс, но это мешает мне спать :( x",1,translated_en,tweet,ru,SMM4H_26_train,@USER_________ i might go back on the venlafaxine &amp; give it another chance but it was wrecking my sleep :( x
en_16676,"@USER_________, пожалуйста, скажите мне, что это был не кветиапин! эта штука ооочень успокаивает...",1,translated_en,tweet,ru,SMM4H_26_train,@USER_________ please tell me that wasn't quetiapine! that stuff is sooo sedating...
en_8021,"от Джессики, я недавно сменил антидепрессанты с цимбалты на золофт... у кого-нибудь еще возникают ежедневные мигрени от приема золофта?",1,translated_en,tweet,ru,SMM4H_26_train,from jessica i have recently changed anti-depressants from cymbalta to zoloft...does anyone else get daily migraines from taking zoloft?
en_16158,"я так устал сейчас. Я чувствую себя так же, как раньше, когда принимала сероквель и литий. я никогда не был так уставшим, естественно, никогда",1,translated_en,tweet,ru,SMM4H_26_train,i am so tired right now. like i feel like i used to when i used to take seroquel and lithium. i haven't been this tired naturally ever
